id;type;rule_key;service_group;service_type;item_category;item_group;package_category;visit_type;components;beneficiary;payment_mode;payment_value;min_quantity;max_quantity;amount;applicable_on;patient_category;tariff_class;material_amount;department;applicable_sponsor;exempted_sponsor;service_exception;item_exception;on_death_incentive
1;PACKAGE_CATEGORY;Rubber Rubber Convertible Marks;benchmark Consultant;Usability Minnesota generating;card Accountability;Technician Norfolk Island;Officer;utilisation Industrial;Unbranded Towels auxiliary;RENDERING_CONSULTANT;PERCENTAGE;30348;39916;97918;99357;NET;CREDIT;Rustic;SALE;61741;67502;18583;55640;38674;true
2;PACKAGE_NAME;Bedfordshire architect;iterate;Nevada;orange SMTP deposit;synthesize Zimbabwe Dollar;purple Personal Loan Account;Cloned Jamaican Dollar system;portals Plain;ORDERING_CONSULTANT;AMOUNT;15982;86609;52037;41929;NET;CASH_CREDIT;transmitting Buckinghamshire Direct;MARGIN;66737;53736;65485;69539;64419;false
3;SERVICE_NAME;Sleek Sports Synergized;Reverse-engineered redundant microchip;contingency Street;e-services;Business-focused Fields Surinam Dollar;actuating;help-desk withdrawal Montana;Home Loan Account Architect Prairie;NONE_AND_PERFORMING_USER;PERCENTAGE;74129;30986;1355;66166;NET;CASH_CREDIT;invoice;MARGIN;35704;14178;84573;26982;14397;true
4;PACKAGE_MINUS_MATERIAL_COST;Investment Account Pakistan Rupee;Yuan Renminbi Web Checking Account;Sports;deposit Cambridgeshire;Applications even-keeled;Small Concrete Cheese;RSS parallelism;navigate;RENDERING_CONSULTANT;AMOUNT;22533;61885;62533;94369;GROSS;CASH;Delaware;COST;15304;46564;46613;67868;71858;false
5;SERVICE_INSIDE_PACKAGE;gold Checking Account;local backing up;Handmade synergy South Dakota;Walks deposit Maryland;online French Polynesia;New Jersey Applications Unbranded Steel Fish;Credit Card Account monetize California;tan;NONE_AND_PERFORMING_USER;AMOUNT;80107;14867;44080;46821;GROSS;CASH;leverage human-resource IB;MARGIN;36449;24703;98462;29890;12703;true
6;ALL_PACKAGES;compressing evolve Awesome;Forward European Monetary Unit (E.M.U.-6) hacking;Orchestrator Administrator turquoise;Function-based Sports;Incredible Chief;generate withdrawal;Wooden Bedfordshire Small Plastic Gloves;Summit;RENDERING_CONSULTANT;PERCENTAGE;28978;76707;44750;64399;NET;CASH;e-markets;MARGIN;29351;84941;86209;6604;76518;false
7;SERVICE_INSIDE_PACKAGE;full-range optimal sensor;SSL;Usability;withdrawal revolutionary;input;Checking Account Delaware driver;granular Liaison Gloves;Fantastic Metal Cheese PNG Response;RENDERING_CONSULTANT;AMOUNT;58860;57569;71610;73616;NET;CASH;Serbia Sports Cotton;MARGIN;48719;38641;63943;11021;31033;false
8;ITEM_CATEGORY;Sleek Soft Table;generate;Tools;Developer COM;Consultant;monitor primary;Officer;yellow Texas Unions;RENDERING_CONSULTANT;PERCENTAGE;66129;53928;45978;59605;GROSS;CASH_CREDIT;online;SALE;66906;97974;77856;88688;32299;false
9;SERVICE_INSIDE_PACKAGE;Rapids monetize Regional;invoice;Alaska indexing transmit;Intranet Direct Loop;Buckinghamshire;calculate bluetooth Circle;Coordinator Cambridgeshire Union;tertiary neural-net Lithuanian Litas;ADMITTING_CONSULTANT;AMOUNT;94846;17020;41814;69121;GROSS;CASH;Ergonomic Soft Car Fresh;COST;87508;30992;3586;54980;83097;false
10;SERVICE_GROUP;Mississippi deposit input;invoice monitor;Home Loan Account Auto Loan Account Digitized;Taiwan;HTTP Liechtenstein action-items;Minnesota impactful;Montana Shoes Pizza;Accounts View;ADMITTING_CONSULTANT;AMOUNT;32271;73501;22947;34395;NET;CASH_CREDIT;Intelligent Illinois Human;SALE;53892;86633;60746;74154;62274;false
