id;document_type;type;approved_by_id;approved_by_login;approved_by_employee_no;approved_by_display_name;approved_date_time
1;DEPARTMENT_PAYOUT;quantify withdrawal;63273;bus;payment compelling;Intranet bluetooth;2020-04-22T22:27:02
2;VARIABLE_PAYOUT;Uganda Shilling Wooden open-source;56160;Savings Account Arizona Manager;ADP;Kwacha Berkshire Synergistic;2020-04-23T11:05:32
3;VARIABLE_PAYOUT;National violet;94994;Associate cutting-edge Consultant;Money Market Account Alaska moderator;Beauty;2020-04-22T20:12:06
4;VARIABLE_PAYOUT;Assurance Buckinghamshire RAM;26249;Frozen well-modulated;process improvement;Pitcairn Islands Front-line;2020-04-22T15:22:21
5;VARIABLE_PAYOUT;Consultant Operative leverage;90064;adapter;brand;structure Intelligent;2020-04-23T02:38:37
6;VARIABLE_PAYOUT;ability Multi-layered;5500;orange;Cheese Granite system engine;Gorgeous;2020-04-23T00:39:15
7;VARIABLE_PAYOUT;Hryvnia Technician;45275;Integration Secured Iceland;Electronics Bedfordshire open-source;generating Practical Rubber Bike SCSI;2020-04-23T05:15:56
8;PAYOUT_ADJUSTMENT;fuchsia;4442;Buckinghamshire Awesome;Toys;Industrial systems;2020-04-23T12:59:40
9;DEPARTMENT_PAYOUT;Marketing compelling;86112;Rand Namibia Dollar;Director Nevada reboot;Borders;2020-04-23T04:18:05
10;DEPARTMENT_PAYOUT;Awesome Metal Sausages synthesize;12334;Games;Isle of Man Pizza Music;Facilitator card USB;2020-04-23T07:34:52
