id;name;code;short_name;min_re_order_duration;service_duration;auto_process;individually_orderable;consent_required;insurance_exempted;active;profile_service;service_type_id;category_id;service_group_id
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;Tasty Metal Bacon;true;false;false;false;true;false;1;1;1
2;methodology Albania;Home Namibia;Steel zero administration;Multi-channelled Licensed;grey Cambridgeshire;true;false;false;true;true;true;2;2;2
3;Centers;Factors;South Dakota envisioneer Music;Nakfa;Bahamian Dollar Investment Account;true;false;false;true;false;false;3;3;3
4;invoice;convergence;Mayotte;Industrial;connect Markets Chief;true;true;true;false;false;true;4;4;4
5;Aruba;software scale interactive;Louisiana Specialist Home Loan Account;Plastic;Car Industrial deliverables;false;false;false;false;false;true;5;5;5
6;monitor;1080p Checking Account Identity;Frozen IB;Highway Ergonomic;moratorium moratorium;true;true;true;false;true;true;6;6;6
7;embrace Developer;synthesize Idaho compress;Sleek Metal Table Small;Intelligent Outdoors;Harbor Montana;true;true;false;false;true;false;7;7;7
8;override User-centric;Money Market Account;Salad Web virtual;Refined Squares;maroon;true;true;true;false;true;false;8;8;8
9;granular Direct contextually-based;synergies copying;ability Hat Iraq;magenta Concrete;User-centric Gloves;false;true;true;true;false;false;9;9;9
10;Engineer;Exclusive Moroccan Dirham card;zero tolerance;mission-critical;Berkshire Small Plastic Pants Investor;false;true;false;true;false;false;10;10;10
