id;code;name;active;template;created_by;created_date;modified_by;modified_date;contract_start_date;contract_end_date;applicable_start_date;applicable_end_date;op_authorization;ip_authorization;sponsor_pay_tax
1;California infrastructure deploy;SSL;true;true;SSL web-readiness;2020-07-27;Ridges;2020-07-27;2020-07-27;2020-07-27;2020-07-26;2020-07-26;false;true;false
2;Sausages microchip Rubber;program AGP;true;true;Forest Global Sausages;2020-07-27;payment;2020-07-26;2020-07-26;2020-07-26;2020-07-27;2020-07-26;true;false;true
3;bifurcated Rial Omani;overriding Infrastructure Berkshire;false;false;synthesizing Director Savings Account;2020-07-26;initiative indigo;2020-07-27;2020-07-26;2020-07-27;2020-07-27;2020-07-27;false;false;false
4;Frozen;value-added;false;true;Italy mesh;2020-07-26;silver Shoes Money Market Account;2020-07-27;2020-07-27;2020-07-26;2020-07-26;2020-07-26;true;true;true
5;Comoro Franc;XSS;true;true;Customizable architect;2020-07-27;Montserrat leading-edge Industrial;2020-07-26;2020-07-26;2020-07-27;2020-07-27;2020-07-26;false;true;true
6;Turnpike;bypassing;false;true;repurpose;2020-07-27;red vortals Trail;2020-07-27;2020-07-27;2020-07-26;2020-07-27;2020-07-27;false;true;true
7;matrix value-added Ohio;Ukraine bypassing copying;true;false;Delaware;2020-07-26;Personal Loan Account Intelligent Fresh Bike;2020-07-27;2020-07-26;2020-07-27;2020-07-27;2020-07-26;true;true;false
8;West Virginia Mouse input;Belarussian Ruble;false;false;Lodge 6th generation;2020-07-27;bandwidth ADP bandwidth;2020-07-27;2020-07-27;2020-07-27;2020-07-27;2020-07-26;false;false;false
9;Rustic Fresh Towels Oklahoma;Granite Savings Account Green;false;true;withdrawal;2020-07-26;matrix;2020-07-26;2020-07-26;2020-07-27;2020-07-26;2020-07-26;false;false;false
10;throughput;Arkansas open-source;false;true;Concrete moratorium Assistant;2020-07-26;Cambridgeshire Investment Account;2020-07-26;2020-07-26;2020-07-27;2020-07-26;2020-07-26;true;true;true
