id;code;name;description;batch_tracked;expiry_date_required;active;remarks;fsn_type;ved_category;type_id;group_id;category_id
1;mobile Fish;Home Loan Account Table Computer;Trace;false;true;false;deposit Tasty Metal Bacon Implementation;Fast;Essential;1;1;1
2;intangible;enable Gorgeous Frozen Pants;Common;true;true;false;Cambridgeshire Mississippi;NonMoving;Vital;2;2;2
3;Usability South Dakota envisioneer;Intelligent;Monitored Bahamian Dollar Investment Account;true;false;false;incentivize Tuna copy;Fast;Desirable;3;3;3
4;Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza;false;true;false;generating compelling;Fast;Vital;4;4;4
5;Industrial;index orange;Jewelery;false;true;true;1080p Checking Account Identity;Slow;Vital;5;5;5
6;pixel withdrawal;Mississippi embrace Developer;synthesize Idaho compress;false;false;true;partnerships Grocery Intelligent;Slow;Desirable;6;6;6
7;Concrete Investment Account Saint Lucia;User-centric;Money Market Account;true;false;true;Auto Loan Account modular Refined;NonMoving;Vital;7;7;7
8;Gorgeous Profit-focused synergies;cutting-edge ability Hat;supply-chains magenta;false;false;false;Directives;Slow;Desirable;8;8;8
9;card Plastic;Computers Personal Loan Account Berkshire;Home;false;true;true;Canadian Dollar;Fast;Vital;9;9;9
10;transmitter;Point Orchestrator;Solomon Islands Licensed;true;false;false;magenta Refined Rubber Gloves;Slow;Essential;10;10;10
