id;created_by;created_date;version;status;change_request_status;latest;visit_type;net_gross;applicable_invoice;on_cost_sale;all_materials;drugs;implants;consumables;dept_consumption;hsc_consumption
1;Decentralized Marketing COM;2020-04-22;84191;networks mobile;quantify;true;Buckinghamshire;GROSS;ALL_INVOICES;NET;false;false;true;true;false;false
2;copying Pizza;2020-04-21;47283;Table interactive;Product synthesize;false;Stand-alone Streamlined;GROSS;ALL_INVOICES;NET;true;true;false;true;true;true
3;Buckinghamshire;2020-04-22;24714;Reverse-engineered Views;Germany digital navigating;false;channels Cotton;NET;ALL_INVOICES;GROSS;true;false;true;false;true;true
4;Canadian Dollar moratorium;2020-04-21;97667;Oman;encompassing program;true;Generic Wooden Chips Avon Savings Account;GROSS;INVOICES_WITH_ANESTHESIA;NET;false;false;false;true;false;true
5;Human Diverse Chief;2020-04-22;77675;Chicken XML Texas;synthesizing Licensed Plastic Chips Fresh;true;Customer-focused SQL redefine;GROSS;ALL_INVOICES;GROSS;true;true;false;true;false;true
6;Avon;2020-04-22;53332;matrix engage Licensed;Cambridgeshire Creative;true;throughput redundant orchid;GROSS;ALL_INVOICES;GROSS;false;true;true;false;false;true
7;Generic Granite Computer Colorado Cheese;2020-04-22;99981;national East Caribbean Dollar clear-thinking;primary;true;invoice Computers;GROSS;INVOICES_WITH_ANESTHESIA;GROSS;false;false;false;false;false;false
8;bandwidth;2020-04-22;60544;Ouguiya;Automated;true;architect;NET;ALL_INVOICES;NET;false;true;true;true;true;false
9;vortals;2020-04-21;41469;JSON compress Gorgeous;Concrete FTP Tuna;true;Car programming solution-oriented;NET;ALL_INVOICES;NET;true;true;true;false;true;true
10;Cotton Gateway deposit;2020-04-21;3914;Stand-alone Consultant even-keeled;Sao Tome and Principe Gorgeous Rubber Chicken;true;Metrics;NET;ALL_INVOICES;NET;true;false;false;true;false;false
